vf,RMS_PINNs,RMS_twoscale,RMS_homog
0.1,4.46414655464169e-05,4.4641517333709564e-05,0.004077911882280283
0.15,4.600262457628178e-05,4.599993282087211e-05,0.006030377205578167
0.2,4.75138226756292e-05,4.752268887317907e-05,0.007902520073182385
0.25,4.92334337739582e-05,4.923314209285294e-05,0.009683509393035165
0.3,5.1149957763700733e-05,5.115953258646435e-05,0.011360484218679459
0.35,5.3339841854769075e-05,5.333538829477459e-05,0.012918048237095577
0.4,5.579539107666057e-05,5.580177994334415e-05,0.01433760975437232
0.45,5.8604339846410755e-05,5.860934650204213e-05,0.015596506797584385
0.5,6.183931042982547e-05,6.18209300184973e-05,0.016666828754353675
0.55,6.553439964936788e-05,6.551592422047114e-05,0.017513802932094553
0.6,6.979880735210962e-05,6.979597442379529e-05,0.018093547654423683
0.65,7.479606145377435e-05,7.479370443174494e-05,0.018349880159478707
0.7,8.074233309409398e-05,8.06848109408445e-05,0.018209682198531297
0.75,8.770018981857082e-05,8.770796401693386e-05,0.01757599797243054
0.8,9.615867122317152e-05,9.619497085424898e-05,0.01631745925426306
0.85,0.00010661608515105577,0.00010662153087321217,0.014251532442463305
0.9,0.00011967124363855248,0.00011969340620382578,0.011116931804343335
0.95,0.00013655171757850419,0.000136503454743515,0.006526098271641258
