total_loss,collocation_loss,interface_loss,bc_loss
1527.3868408203125,1.8065687417984009,1485.7978515625,0.0031522251665592194
0.00021984518389217556,2.504141320969211e-06,3.025746082130354e-05,7.478941910221693e-08
0.00016094913007691503,6.574772442036192e-07,9.362547643831931e-06,1.7215728576047695e-07
7.88862380431965e-05,3.751162580556411e-07,1.5099729466783174e-08,1.850264510494526e-07
4.5131382648833096e-05,2.05841587330724e-07,9.899387805489823e-06,7.371178867288108e-08
5.710500408895314e-05,5.816062298436009e-07,1.183464206633289e-07,1.6416592529822083e-07
9.218355262419209e-05,5.820384103571996e-07,1.531467933091335e-05,1.9109549498352862e-07
5.491153569892049e-05,7.028960453681066e-07,1.7371040712532704e-06,5.1374396292658275e-08
2.8646583814406767e-05,3.332867208882817e-07,6.159926215332234e-06,2.120904873947893e-08
4.066279507242143e-05,1.2965267615072662e-07,1.62364449352026e-05,4.4564352208453784e-08
1.936026819748804e-05,1.1298106983304024e-07,4.807254185834609e-07,4.6303089362709215e-08
1.841580160544254e-05,2.0669952505159017e-07,3.681975385916303e-06,1.3558622669052056e-08
9.963572665583342e-06,4.020082045030904e-08,1.982076355488971e-06,2.270282273286739e-08
5.363623131415807e-06,1.07264490623038e-07,4.0132414369509206e-07,4.824241450762656e-09
5.6401108849968296e-06,8.294682629639283e-08,1.2881557722721482e-06,6.6926735264871695e-09
5.009506367059657e-06,3.653682867366115e-08,1.2605077017724398e-06,7.1699313153317235e-09
4.4957196223549545e-06,1.580829511738102e-08,3.4221045552840224e-07,1.1292107693350317e-08
7.866745363571681e-06,5.2924324478453855e-08,1.8727860151557252e-07,5.772990974151071e-09
3.247840140829794e-06,1.7043193523136324e-08,6.204064817438848e-08,4.1357832714084e-09
2.1060011476947693e-06,1.565327600872024e-08,1.0191854471486295e-08,3.1765985397669283e-09
2.305092948517995e-06,1.6312350581415558e-08,4.2135701505685574e-07,2.0584289828207147e-09
3.3468766105215764e-06,1.7385520578727665e-08,1.313122197643679e-07,1.6486473297661064e-09
3.290440417913487e-06,1.3130587284138073e-08,3.4257883640975706e-08,7.247615840810795e-09
9.99490225694899e-07,8.092951198079845e-09,1.7107289806972403e-07,3.2590957710354473e-10
2.552088972151978e-06,1.1262616617102594e-08,8.018322716907278e-08,3.845097573673684e-09
1.3928579392086249e-06,7.773902410690425e-09,1.0470677125340444e-07,2.1070445388460257e-09
1.5454697859240696e-06,6.988975620458859e-09,1.0200680300442855e-08,6.38039066025442e-10
8.751403584028594e-07,5.409386716337394e-09,9.611079576643533e-08,7.744497404482686e-11
5.155740723239433e-07,4.971991263147402e-09,5.6991211749846116e-09,4.0538750134544443e-10
7.621840723004425e-07,3.977694618129135e-09,5.107616551924821e-09,1.538280391955027e-09
1.5159920963014883e-07,2.0879735718182246e-09,4.391758068322815e-10,1.4906961776084415e-10
3.775907089220709e-07,2.019974409961378e-09,1.6681208592217445e-07,3.555354621820328e-11
2.0514910659130692e-07,8.800346562587436e-10,1.320467291066052e-08,3.5634628581249217e-10
3.862135713461612e-07,2.09557016184192e-09,4.9067573115735286e-08,3.422997996160859e-10
1.1822257306448591e-07,9.232883901866273e-10,5.780558254286916e-10,1.2559184248139843e-10
9.795487443398088e-08,5.17340170702596e-10,2.4568443279804342e-08,9.891907432058034e-11
3.6558255089857994e-08,1.686237538489621e-10,1.0572032138611576e-09,7.051829953308442e-11
7.574379878860782e-08,1.5571130496105923e-10,1.658628789868999e-08,1.2637685342653526e-10
3.7724618096035556e-08,2.2287544032550954e-10,2.8755753334053225e-10,2.2204411920245803e-11
2.9420586855621877e-08,1.791810033680008e-10,1.2371870639071858e-08,1.4052162211619645e-12
1.2024964135548544e-08,2.1911215897230107e-11,8.145719654351069e-09,2.39044894989604e-12
1.9629482039817958e-08,7.374054145081743e-11,6.728115842236093e-09,1.8148871294698665e-11
3.4342502175377376e-08,2.0510423914821274e-10,5.354110932387357e-09,1.2294783247046581e-11
2.479541372224503e-08,1.1723956527820434e-10,2.5868525099781436e-09,2.2572312075030965e-11
6.982856959325545e-09,3.321731778527237e-11,3.865352482534945e-12,1.2957303632821215e-11
9.386482702211651e-09,1.7892239773109608e-11,1.3221921335571096e-09,2.0951575543937118e-11
1.8429510362238943e-08,1.5798173533254634e-11,4.425055877277373e-10,3.828649203230228e-11
1.4075792975631884e-08,9.556049007652945e-11,3.482014676592371e-11,2.2050763992531586e-12
3.993747554886795e-09,1.529523729892901e-11,1.0554828122621984e-09,3.957723038183758e-12
6.771182281539723e-09,1.2575118030211385e-11,1.8069528096020804e-09,7.737838148003107e-12
7.1440062754390965e-09,3.919575081168247e-11,3.7834979593753815e-10,3.34289713965763e-12
5.996925622753224e-09,1.2177104810606743e-11,1.7661854201378446e-09,9.510768908538303e-12
3.777480106492703e-09,1.1804559066352915e-11,7.175211536036841e-10,2.9633673986895204e-12
2.4815272059441895e-09,1.666984952852779e-11,9.692158187135647e-11,2.7770633015400392e-12
2.3622421796432036e-09,9.149015746390265e-12,9.36865696132827e-10,2.2249216358183332e-12
1.567528551404962e-09,1.499953286576705e-11,5.831513050225112e-11,9.693981728453593e-13
1.5862846591829793e-09,8.639325366210926e-12,9.756639940405876e-12,2.332052953524233e-12
1.7280188391310958e-09,1.3265496340286731e-11,4.193090319404291e-12,3.5443748630514804e-12
1.3549140698287943e-09,1.8834264009504054e-11,2.360280859647901e-10,8.606240720077096e-13
8.441008447768183e-10,8.93127585777087e-12,6.162181875879469e-11,8.673218393484561e-13
1.450029651905993e-09,7.27687875234917e-12,2.949969157839405e-10,9.060807659722059e-13
9.39478272954375e-10,8.982878677010753e-12,3.672884218985928e-11,1.0239656345056858e-12
8.035109244630689e-10,7.163369290102972e-12,1.4725998198628076e-11,1.2853069303320197e-12
6.502012261933032e-10,7.487326730837296e-12,1.4566126083082054e-11,1.1726730697603216e-15
9.406020406999005e-10,6.326727336469773e-12,1.7141843500212417e-11,1.0458734572837969e-12
1.343230304762244e-09,7.077676118794063e-12,3.644453627771327e-10,3.4409280980085555e-13
