total_loss,collocation_loss,interface_loss,bc_loss
960.90869140625,0.838787317276001,935.8123779296875,0.0007683766889385879
0.0005274572176858783,1.2372308901831275e-06,3.6891036870656535e-05,1.0241471670724422e-07
0.0002523129223845899,2.334571149731346e-07,3.949290839955211e-05,1.1115460551991418e-07
0.0002235425781691447,1.8184623229444696e-07,5.08739503857214e-06,2.0811799572584277e-07
9.024125029100105e-05,8.404046525356534e-08,1.4532421346302726e-06,1.4845863915979862e-07
4.9065380153479055e-05,8.75168524316905e-08,2.5350274768243253e-07,9.000892475796718e-08
7.741161971352994e-05,2.0792541022274236e-07,2.9033511964371428e-05,1.5894865867949193e-08
6.704127008561045e-05,2.3590304465415102e-07,8.797346708888654e-07,2.994739389805545e-08
2.3315395083045587e-05,4.5610025978248814e-08,1.0148048659175402e-06,4.200827774525351e-08
6.197991751832888e-05,7.160941351003203e-08,4.572489160636906e-06,4.829524158367349e-08
2.3759561372571625e-05,2.3850713404272028e-08,1.1138173476865632e-06,2.0984682436164803e-08
1.3156681234249845e-05,1.594967002915837e-08,6.426967047445942e-07,1.710395203247117e-08
1.580461503181141e-05,1.4565460837445698e-08,1.882589685919811e-06,2.1386915349808078e-08
9.317733201896772e-06,3.3740423788231055e-08,1.0570016684141592e-07,1.2384703040879685e-08
1.2550666724564508e-05,9.649109067311201e-09,1.8216462649434106e-06,1.7999781221078592e-08
7.537561486969935e-06,4.781641305129369e-09,4.78678293802659e-06,1.3678517207793561e-09
1.7507536540506408e-05,2.334044424401327e-08,2.4143478185578715e-06,1.8259676437537564e-08
5.418170530901989e-06,8.838692444612661e-09,6.576792657142505e-07,1.2249536940345251e-09
4.2625060814316384e-06,3.7647462924894626e-09,3.366727696629823e-08,6.358427118158261e-09
3.3284773053310346e-06,7.182979100406328e-09,3.826293664133118e-07,4.027855826649329e-09
1.3716701232624473e-06,2.3984605412863402e-09,9.613145834919123e-09,1.4676792003953665e-09
2.890349151130067e-06,8.152108321723972e-09,1.959205491175453e-07,2.5506259326846248e-09
1.7876066067401553e-06,1.1839538238689329e-09,7.792226597302943e-08,3.73392161634456e-09
1.2950824839208508e-06,7.675130531126229e-10,3.812829163507558e-09,3.0218769708767468e-09
8.683911119078402e-07,3.6856664942241935e-10,5.117513524055539e-09,2.8334756763115365e-09
1.4562067462975392e-06,4.696104616286334e-10,4.610888595379947e-07,1.980733077555641e-10
2.0186744222883135e-06,1.4497189004814004e-09,2.5463509700784925e-07,2.157451106654662e-09
6.798799745411088e-07,2.168306201255632e-09,8.91226648036536e-09,2.8736962809361444e-10
3.18327579407196e-07,5.651302203979469e-10,4.274782128277366e-08,6.097488070011536e-10
3.2240211567113874e-07,1.155127438146053e-09,5.254960910860973e-09,2.2437218749615795e-10
2.1300630237419682e-07,2.2715630765279826e-10,1.8841319615603425e-08,4.0239497844929417e-10
9.556710267588642e-08,2.3512763958066785e-10,1.8413746971646106e-08,2.8683312669475214e-11
1.452258970857656e-07,1.175120833973864e-10,6.9486674192376086e-09,1.367752439085379e-10
2.0638609043999168e-07,1.536252514089398e-10,2.892710426749545e-08,2.7190322215986384e-10
1.763496300100087e-07,1.468382498925891e-10,4.51018777880563e-09,1.6762258248093076e-10
1.6441862271676655e-07,2.0657660304568282e-10,1.0574965791931845e-08,2.0084295337952085e-10
1.0516448867292638e-07,1.0899559726995633e-10,2.0783303966709354e-08,9.451200932986126e-11
1.2921262282361567e-07,4.658014252090226e-11,2.2134315713628894e-08,1.398124255258537e-10
9.814835522092835e-08,1.6333412400371117e-10,3.2986555709157983e-09,5.197176022875283e-11
9.679407497742432e-08,1.7438953059389917e-10,4.143316800764296e-10,4.519454255280664e-11
7.530088197427176e-08,1.0864571048374572e-10,4.7707766626103876e-09,6.804197483223362e-11
2.19091980113717e-08,4.333573777604016e-11,2.4987034663581653e-10,3.687346955549842e-11
2.7258481694047987e-08,8.640443915908236e-11,1.1821192913430423e-09,1.9178103549677417e-11
1.7430329180001536e-08,2.763653195181348e-11,5.290203830554674e-09,8.65457878973519e-12
2.502548923644099e-08,4.780124907011185e-11,4.4224179873708636e-10,1.8247271749149974e-11
1.1509198927228681e-08,3.854885161080901e-11,4.863665026277886e-12,1.0600074637490131e-11
6.406606800624104e-09,2.8060536533258684e-11,2.951461297584501e-10,2.8537662684346987e-12
1.4845650930794818e-08,1.5072425946227597e-11,6.791456286237008e-11,2.8988506040050765e-11
6.041061428874173e-09,1.585259874758993e-11,1.0890666146678996e-09,1.4777610558847076e-12
9.176707393976358e-09,1.3883758726018769e-11,6.235234550899804e-10,1.1001326585824422e-11
2.151021361029848e-09,5.823649288499988e-12,1.765787516205819e-11,2.3683767620685803e-12
8.024567677011873e-09,1.1309084745059206e-11,4.576694578872775e-11,1.3996415137995655e-11
7.0541501528964545e-09,1.3708875180873381e-11,1.0880185641326534e-12,4.5823817830525915e-12
4.181151425086682e-09,4.267617509379207e-12,6.314886391578511e-10,5.3171690141129435e-12
4.811135490001561e-09,1.962819490275436e-11,6.060929536033655e-11,1.2604101790048006e-12
2.0923669463712713e-09,2.8014732460918124e-12,3.814548676928098e-11,3.6075118586831323e-12
