total_loss,collocation_loss,interface_loss,bc_loss
716.3634033203125,0.05699698626995087,704.8370971679688,2.601282631076174e-06
0.003577236318960786,1.3090374295643414e-06,6.0355199821060523e-05,9.710597481671357e-08
0.0011464172275736928,1.0977023521263618e-06,9.652266271586996e-06,7.401171586707278e-08
0.0002291249402333051,4.0750973084868747e-07,1.4220477169146761e-06,3.694461270242755e-08
6.679497164441273e-05,7.206124763570187e-08,1.1345667189743835e-05,7.295783976957182e-09
4.5402055548038334e-05,2.1489102053351417e-08,1.0220206604572013e-05,9.35683885927574e-09
8.798895578365773e-05,7.261106560463304e-08,5.633121986647893e-07,2.4685462562956673e-08
8.184288890333846e-05,2.3865228016006768e-08,1.0020680747402366e-05,3.07319005798945e-08
2.0231716916896403e-05,9.094995867542366e-09,5.480228992382763e-06,4.215107374250238e-09
2.1807220036862418e-05,2.614227945230141e-08,8.957781574281398e-07,4.713621049035055e-09
3.112999547738582e-05,6.258570994788215e-09,1.3347486174097867e-06,1.2637476842769502e-08
1.9137980416417122e-05,1.0076792733570983e-08,4.026994247396942e-06,4.7582542350710355e-09
1.327232166659087e-05,2.2411870137517553e-09,3.2561836178501835e-06,1.6399369640041073e-09
1.626094672246836e-05,3.2229379165471528e-09,9.534422673596055e-08,6.4699792190481276e-09
1.229248482559342e-05,1.9928547700942545e-09,1.1164075885972125e-06,5.685036885694217e-09
2.1703055608668365e-05,7.42963424116283e-09,1.2116673531181732e-07,1.0930630622851822e-08
1.200928363687126e-05,4.8619566150875926e-09,2.3006523974800075e-07,5.9397908813707545e-09
7.478232873836532e-06,9.983583737493973e-09,2.0817023482777586e-07,2.787181374586112e-09
2.3870438781159464e-06,1.388103409993846e-09,1.1667437149753823e-07,1.3118069963624635e-09
2.2113611066743033e-06,6.220530202050156e-10,2.611050717860053e-07,1.3561649581106394e-09
3.3081419132940937e-06,1.2835463802929326e-09,9.978817843148136e-07,2.687242650623034e-10
1.7466441022406798e-06,8.027888354078527e-10,1.2919110226050634e-10,4.67890004518523e-10
2.7503649562277133e-06,3.208640686480635e-09,1.5033118927476607e-07,2.8218344327868294e-10
