total_loss,collocation_loss,interface_loss,bc_loss
1682.886474609375,0.09343831241130829,1669.80029296875,0.00029974867356941104
0.002228920580819249,7.529885124313296e-07,1.0976022167596966e-05,2.3491189438118454e-07
0.0004920651554130018,4.318617357057519e-07,8.800578257250891e-07,1.28238198726649e-07
0.00013202686386648566,5.170534222997958e-07,4.6418711008300306e-07,3.4873529841661366e-08
9.490153752267361e-05,1.4114027635514503e-07,2.588161351013696e-06,8.16355125721202e-08
6.438005220843479e-05,3.359027687110938e-07,1.03208994914894e-05,3.541980220234109e-08
3.66089770977851e-05,1.067442241264871e-07,1.6574352912357426e-06,2.154459366465744e-08
4.216985689708963e-05,7.843199867352268e-09,1.3109368410368916e-05,3.4548822469560037e-08
3.5486762499203905e-05,1.5996123536865525e-08,1.473419524700148e-05,1.829680051912419e-08
4.075688775628805e-05,7.457057904503017e-08,3.4529091408330714e-06,3.989664065784382e-08
1.619506292627193e-05,5.077947662357474e-08,4.1576464582249173e-07,1.2324048448419944e-08
7.310030014195945e-06,3.71238861873735e-08,1.619782779016532e-07,3.8601802310189726e-10
6.14784312347183e-06,1.3583710156694906e-08,6.666883933803547e-09,4.974330281015682e-09
8.71794418344507e-06,1.894950152347974e-08,1.75503643617958e-07,6.055692836071103e-09
5.164926733414177e-06,6.661914131456115e-09,1.704644887468021e-06,2.73576961085098e-09
7.965790246089455e-06,1.4354581523434717e-08,4.2494255581004836e-07,6.133369812033607e-09
7.18817682354711e-06,1.1694714530108286e-08,3.0368403258762555e-06,1.2395361403960692e-09
1.5555801837763283e-06,1.0733374189442202e-09,1.7357615433866158e-07,1.6706203087579752e-09
2.525898253225023e-06,1.0031490083051153e-09,7.027026072137232e-07,1.692576745426777e-09
4.107041149836732e-06,5.344028775056131e-09,5.511508049949043e-08,2.4471291659722283e-09
2.1523997020267416e-06,1.2653311731725125e-09,2.710401645344973e-07,2.16545359421616e-09
1.8280189806318958e-06,4.195260139283619e-09,7.499229468521662e-07,2.2737345339862713e-10
2.3437353320332477e-06,3.742266940776062e-09,2.613449510135979e-07,1.1897134388760833e-09
2.3091893126547802e-06,2.3899531242932426e-09,6.527813845025321e-09,1.4052030650191227e-09
1.4331965303426841e-06,1.2626287515526968e-10,3.6615810472540034e-07,1.4691430294533347e-09
2.0647999008360785e-06,2.6842255085313127e-09,6.19638740317896e-09,7.848472427518516e-10
1.3997442920299363e-06,6.608063540802789e-10,1.4016055160936958e-07,4.725154711948676e-10
1.2253542536200257e-06,1.5966116206911352e-09,5.162809202374774e-08,2.9379504384863253e-10
3.5279867915960494e-07,3.2007146932855335e-10,7.617101260848358e-08,1.4286385963124815e-10
4.3597870558187424e-07,1.733437560158535e-10,5.5237691753973195e-08,4.0464501194215075e-10
2.866740373974608e-07,1.3985330948873553e-10,7.929529921568701e-09,3.9539962970458475e-10
