total_loss,collocation_loss,interface_loss,bc_loss
1374.44140625,0.6206381320953369,1317.1025390625,0.024570612236857414
0.0003458283026702702,1.5251417835315806e-06,1.299728978665371e-06,2.4626712047393085e-07
0.00013491099525708705,3.371047228029056e-07,3.3759308280423284e-05,1.098864714776937e-07
5.080011032987386e-05,3.411961699839594e-07,1.4379887034010608e-05,1.742735378229554e-08
8.182750752894208e-05,4.3356018863960344e-07,7.640602234459948e-06,6.479751846200088e-08
5.603071622317657e-05,2.2549163247731485e-07,1.9630606402643025e-05,3.223076916469836e-08
4.4594784412765875e-05,2.0383312460126035e-07,1.727647759253159e-05,2.3887485767204453e-08
1.8964423361467198e-05,7.023127324146117e-08,3.587487356071506e-07,2.5963938554696142e-08
3.262421159888618e-05,1.186888809456832e-07,1.0723045306804124e-05,1.4898086320158654e-08
2.667898661457002e-05,1.0882828860303562e-07,1.044423584062315e-06,2.269796794962531e-08
1.9919136320822872e-05,1.1703162527965105e-07,6.211098479980137e-07,1.7264076390688388e-08
7.570464731543325e-06,2.213658056859913e-08,2.5819590518949553e-06,2.6275692732724565e-09
2.1132225811015815e-05,7.116948097518616e-08,1.6145544350365526e-06,1.4378306545381747e-08
4.023117526230635e-06,9.36486443947615e-09,1.7585894056537654e-06,6.033167299079878e-10
2.935201791842701e-06,5.938877833955303e-09,4.044501622502139e-09,3.784573543441638e-09
7.110993465175852e-07,4.986084323199691e-10,7.348668873419228e-08,6.624279458300464e-10
7.099787126207957e-06,4.611115045349834e-09,8.576264463044936e-07,6.620158643499963e-09
3.698288082887302e-06,1.1157437640463286e-08,6.417377562684123e-08,4.943209730434717e-10
2.7292667255096603e-06,5.923507240268577e-10,5.69773760616954e-07,3.790053160201978e-09
5.257604698272189e-06,2.771240570353939e-09,1.3739509086008184e-06,4.332598280143429e-09
3.183730768796522e-06,1.6137233771473802e-09,9.73577584773011e-07,3.295680173209803e-09
2.962121016025776e-06,7.483615505066155e-09,7.737773444205231e-07,1.912507485712922e-09
1.940606352945906e-06,6.294563981157353e-09,7.500062793042162e-08,1.3522450936775954e-09
1.401064309902722e-06,2.5210344922754757e-09,1.083709690874457e-07,1.645985903131475e-09
8.685680654707539e-07,1.938145643975986e-09,2.0265693478904723e-07,6.904535831964154e-10
1.236977482221846e-06,1.1085137252564436e-09,3.011160387700329e-08,1.6290137017094253e-09
2.1282528450683458e-07,8.228597803139337e-10,1.927603676676881e-08,1.911081848327001e-10
2.9972946435918857e-07,1.648958081190699e-09,1.589280174130181e-08,6.792919698961342e-11
1.9822452657081158e-07,4.1905939829334216e-10,3.791694425103742e-08,6.440226824055983e-11
1.863764111931232e-07,1.8164265924713874e-10,4.6759389249473315e-08,1.0656916321627463e-10
7.676995323890878e-07,1.7327211887518956e-10,3.869652154264713e-09,9.345426654761013e-10
6.244673045330273e-08,9.439401343902531e-11,9.237055564881302e-09,6.628424892296536e-11
4.730448495138262e-07,6.7445417306633e-11,1.9811374762923606e-10,3.5260155906158275e-10
