total_loss,collocation_loss,interface_loss,bc_loss
30.6031436920166,0.0068660578690469265,29.535030364990234,0.03672302886843681
1.022984906740021e-05,1.0042411702215759e-07,1.3844197610524134e-06,1.2769609725182818e-07
4.031258413306205e-06,6.88447920893509e-09,4.3788273274003586e-07,1.951787851339759e-07
1.0527326139708748e-06,2.36019426225198e-09,2.661644202817115e-07,5.123358448599902e-08
3.6045942124474095e-06,1.2546381711331378e-08,4.3062445342911815e-07,2.3042269958750694e-07
1.4793083664699225e-06,1.4099597045458268e-09,6.66101925617113e-07,5.502890232378377e-08
1.4735768445461872e-06,1.2135641824784216e-08,1.3884286431675719e-07,2.845357016667549e-08
1.5171182212725398e-06,6.837435062578834e-10,4.5484873112400237e-07,1.2127642889936396e-07
4.3081178091597394e-07,9.993977867495119e-10,1.379804217549463e-07,1.5842399392340667e-08
1.297594735660823e-06,1.668442384250568e-09,5.537659717447241e-07,4.3418239670245384e-08
8.691259836268728e-07,2.3099608892351853e-09,6.029905819104897e-08,1.719920916798401e-08
5.973216161692108e-07,4.676808940118349e-10,1.8647619981493335e-07,2.4213937521722073e-08
6.852612273178238e-07,5.685151238665753e-10,2.142995754184085e-07,3.339935972235253e-08
4.599993985721085e-07,1.7293109999538814e-10,1.6843489447637694e-07,1.7960953613282982e-08
2.861045516056038e-07,1.0315664988880258e-09,4.0973009873823685e-08,8.53122905652981e-09
1.9819280794308725e-07,4.396517039317871e-10,3.5043692392378034e-09,1.9035557130564484e-08
2.2881431505084038e-07,4.245962609283893e-11,7.079262331899372e-08,2.1044179732143675e-08
5.4008147287731845e-08,8.205860990706526e-11,9.523866140170867e-10,3.779639712320204e-09
1.9778504167788924e-07,9.89087076130879e-11,2.401010945618509e-08,1.7534647511752155e-08
9.307851200901496e-08,2.7363045163042443e-10,1.3026483003386602e-08,2.598041781709526e-09
2.7936506441506026e-08,2.3415928918080198e-11,6.56238174912005e-09,2.3075132915550967e-09
1.0063456556963501e-07,3.241302018452963e-11,1.9468657797006017e-08,7.194065343441025e-09
7.11078698145684e-08,3.1190869331787496e-11,1.6587453188776635e-08,1.2529818294026995e-09
2.2408453759226177e-08,1.0131306384109084e-11,7.737188667533701e-09,6.550500142310511e-10
3.781785196110832e-08,3.718763838533867e-11,6.756369685945174e-09,2.6255153606769e-09
4.367730355170352e-08,1.2468421260736218e-11,3.4015670280496124e-09,4.591974800405296e-09
3.2211818989935637e-08,5.424928214980973e-11,2.351299599467893e-09,5.593798757530521e-10
3.767567946511008e-08,8.465901590870573e-12,1.0503029557185073e-08,2.638653295861104e-09
1.5814542564385192e-08,4.41926842342788e-11,4.079661053424388e-10,4.673390563425528e-10
1.3242571483829124e-08,3.9661895295806104e-11,1.7274146557610948e-09,5.207667977402686e-11
1.3518564045966741e-08,3.6042214351938995e-11,1.4995436004028306e-09,6.494140225576928e-10
7.831180148798467e-09,6.73710479764944e-12,2.4402311282756273e-09,3.275832938243184e-10
8.067036816328255e-09,2.2551405187698492e-12,4.3610590694243e-09,2.5438545714351335e-10
5.014398674063614e-09,1.5457347207759042e-11,9.80372227843418e-10,3.0392396932477084e-11
4.498107220030079e-09,9.4357967619918e-12,2.644107155447273e-10,8.767088444106008e-11
1.6304986250048614e-09,3.346227591891071e-12,2.135607246600557e-10,6.687526921123066e-11
1.3093706563438445e-08,9.657003495477934e-12,8.797798045634408e-10,7.00043578660825e-10
5.379852119347106e-09,8.018008132437693e-12,1.0737899458490574e-09,8.434777876153987e-11
3.985081598045781e-09,1.682342850098384e-12,5.953149084803044e-10,2.8788571526661144e-10
