total_loss,collocation_loss,interface_loss,bc_loss
27.42979621887207,0.01645301654934883,26.849382400512695,0.0007683765143156052
1.1381838703528047e-05,4.10664355854351e-08,6.812850870119291e-07,8.99232190931798e-08
5.764692105003633e-06,8.538597384699642e-09,1.6953232488958747e-06,7.435011895040589e-08
5.516156306839548e-06,1.445933328625415e-08,2.2652965014913207e-07,1.84230856348222e-07
7.535534678027034e-06,2.509201735279021e-09,7.35950663965923e-07,3.440091802531242e-07
4.161121523793554e-06,1.6948771275338004e-08,1.6829926607897505e-07,3.9525950512597774e-08
1.7668404552750872e-06,1.5836278954850513e-09,3.633402911873418e-07,6.060622581571806e-08
1.2459460094760288e-06,2.0492951779971236e-09,1.822639319470909e-07,4.824867261277177e-08
1.6564329143875511e-06,6.5607119736910136e-09,2.0854828619576438e-07,4.2352123585942536e-08
4.062138941662852e-06,3.743114707077666e-09,6.768295293113624e-07,1.4712719575982192e-07
9.385853445564862e-07,2.005441146479825e-09,1.3546443256018392e-07,2.992194936268788e-08
6.688057965220651e-07,5.380998979731544e-10,1.7695420240215753e-07,3.7034251221257364e-08
5.982837478768488e-07,2.807427346152025e-10,3.38083552264834e-08,3.781280000225706e-08
4.7593624685760005e-07,4.599584046971472e-10,2.905319007595608e-08,3.298190875966611e-08
3.5962580113846343e-07,2.0459495209124157e-10,1.6161658322744188e-07,1.06846869130095e-08
2.4654383423694526e-07,8.269688406281617e-11,1.023111284581546e-08,1.9135459439212354e-08
2.2398793930733518e-07,2.2838880786579807e-10,6.131543273113493e-08,9.785525278971363e-09
2.1737275801569922e-07,3.915854446256972e-11,6.039047661943187e-08,1.4180007390507399e-08
2.0346614348909497e-07,3.471618825745537e-10,4.204574466371014e-08,5.23103782512635e-09
9.340045892258786e-08,2.0784113319294306e-10,2.143373478702415e-08,1.7169238253345043e-09
1.5375442785625637e-07,3.32878002939907e-10,2.184044944897323e-08,4.561770516886554e-09
1.1751100714718632e-07,1.8902003573462167e-10,2.912039498426111e-09,4.963987443318274e-09
5.641265943268081e-08,8.219208647020082e-11,8.91617801812572e-09,1.7536865293266146e-09
1.261938962215936e-07,4.139091847044085e-11,2.0494585584174274e-08,6.71343514113687e-09
2.6527480656568514e-08,5.500700589466945e-11,1.8805312862468782e-10,1.65649316485883e-09
4.2088498020120824e-08,4.157035132790199e-11,7.836050919252102e-09,2.4306607837587535e-09
2.5560787264566898e-08,2.252350042586393e-11,6.384390793812145e-09,1.6665342439381448e-09
1.8842495563831108e-08,2.7274354649775567e-11,4.916338447458202e-09,8.147822971871221e-10
1.133780269668705e-08,2.9368691506492794e-11,2.637321472320764e-09,4.630103245251149e-11
9.596172745318654e-09,7.897586230820597e-12,1.6151240345152473e-09,5.580760298329324e-10
1.8563561354767444e-08,6.720162620821313e-12,1.7560441989417086e-10,9.24962106907401e-10
7.052549655384155e-09,1.9157710140493833e-11,8.102407633714392e-11,1.2314695096993233e-10
1.0464766830864392e-08,1.0391624193084592e-11,2.5557973515333288e-09,3.2760896773176285e-10
6.6911187701634844e-09,7.521907575969156e-12,2.9595881301247573e-10,2.9778268739732994e-10
7.783460098664818e-09,2.353647311770235e-11,4.999884950507294e-10,2.0615575913041084e-10
6.669663932257208e-09,2.260571764500785e-11,5.375255796025158e-10,1.7282356101766538e-11
1.1051355386371142e-09,3.0942345040363417e-12,9.195932904049187e-11,2.4624311270593502e-11
2.0515615872795934e-09,7.3314965209903e-12,6.0992988437647e-11,2.066902204944654e-11
3.0346856139118472e-09,3.983845371646755e-12,3.086322308831768e-10,1.6162907123806747e-10
