total_loss,collocation_loss,interface_loss,bc_loss
5.633942604064941,1.767867615853902e-05,5.586389541625977,0.0016056979075074196
1.412817437085323e-05,5.49917222869567e-09,1.6227261312451446e-07,8.126384045681334e-07
1.993889554796624e-06,2.7815036940381788e-09,1.956972113248412e-07,7.502620036348162e-08
3.3508545129734557e-06,1.9130390604971126e-09,7.507119903493731e-07,2.070969458145555e-07
2.1511834802367957e-06,2.3073103150306196e-10,6.447738769566058e-07,1.6630941956918832e-07
8.810952181192988e-07,1.3992124126005479e-10,2.4237164097939967e-07,7.396999279762895e-08
4.990820343664382e-07,3.56413093482999e-10,8.007231144802063e-08,2.1085163837142318e-08
3.1331427408076706e-07,1.7601789470411688e-10,6.961848697528694e-08,1.0706851405473117e-08
3.399732690922974e-07,2.1011944961735196e-10,9.090558705793228e-08,2.774380059022974e-09
7.341998298215913e-07,2.2967323876077472e-10,1.6619314635590854e-07,4.895634830859308e-08
4.3872722699234146e-07,5.585852613787523e-11,1.51101119172381e-07,2.7688898285305186e-08
2.3142419536270609e-07,1.24556448488633e-10,1.8309069815813928e-08,6.2009326562417755e-09
3.9032664744809153e-07,1.3327627890191707e-10,5.293461313726766e-08,1.3744649862701408e-08
3.204604013262724e-07,3.911740723006041e-11,9.630063146914836e-08,2.2360207907468066e-08
3.62592658120775e-07,2.9964940251314687e-11,7.318310224491142e-08,2.3164618667692594e-08
2.078173935160521e-07,1.5454557772409672e-11,6.356904691529053e-08,1.5525255747661504e-08
2.0420301893864234e-07,4.4398183046689965e-11,4.5980577567661385e-08,1.1169071001404518e-08
1.602220720542391e-07,4.636824951775864e-11,1.3282832611594131e-08,4.415731336138151e-09
5.059293073372828e-08,9.33067859087977e-12,1.30747057625058e-09,4.239319562060473e-09
8.416108698838798e-09,1.07350868645828e-12,2.260993170466463e-09,6.356573045707137e-10
7.6946356841745e-08,1.4769517206469907e-11,2.0006357459578794e-08,3.957396632614518e-09
2.9340620599782596e-08,3.031871845596279e-12,6.765450422108188e-09,2.341043359166406e-09
2.2724037762600346e-08,3.819785199948855e-13,8.078402835565157e-09,1.942082050732097e-09
9.863523331432589e-09,1.0266142319928506e-12,3.080188548665319e-09,6.439594413265581e-10
2.196834714141005e-08,3.063050464310879e-12,6.294545329410539e-09,1.7440604516139047e-09
