total_loss,collocation_loss,interface_loss,bc_loss
54.674259185791016,0.0011639147996902466,53.17034912109375,0.014492315240204334
0.00015038334822747856,1.7686949149720022e-07,1.9389003682590555e-06,2.514171626444295e-07
5.4968269978417084e-05,3.351886590508002e-08,1.211581093230052e-06,4.3600985577540996e-07
1.4473957890004385e-05,8.54431903007935e-09,1.4272757198341424e-06,2.0204070949603192e-07
9.922897334035952e-06,3.54443017158701e-08,1.386603116770857e-07,9.908802667268901e-08
6.613804544031154e-06,3.6687795024192837e-09,1.583053403919621e-07,1.5430811117767007e-07
1.9068436813540757e-05,6.698682053496441e-09,1.9584695110097528e-06,3.1101839681468846e-07
8.603666174167302e-06,1.0399073602229691e-08,5.413309054347337e-07,1.4623083188780583e-07
2.5199833544320427e-06,5.382142287402303e-09,3.583125476325222e-07,2.3905224466602704e-08
2.1829528122907504e-06,3.539900372828697e-09,6.220744808160816e-08,8.29020692094673e-08
1.089611032512039e-06,1.2751262268295704e-09,3.6317807428076776e-08,3.758099254014269e-08
2.067652303594514e-06,3.305939966224969e-09,3.966958956880262e-07,1.8756342257120195e-08
1.0273661246174015e-06,1.4884613541710223e-09,1.1029762703174129e-07,1.641906344218569e-08
2.3669535949011333e-06,1.4824390603962456e-09,3.8327584661601577e-07,3.737942932957594e-08
3.51676419541036e-07,4.95813320955385e-11,2.487988837174271e-08,1.0611612033528672e-08
7.839864792913431e-07,1.3354709560431388e-09,3.430638173540501e-08,8.924185834757736e-09
1.664992623773287e-06,2.0309853798750055e-09,1.359050685323382e-07,3.029888517858126e-08
3.45587864103436e-07,1.3097624373958894e-10,1.6887432252588042e-07,3.806275294948591e-09
1.2017029860089679e-07,1.5826882859837355e-10,6.979861133515897e-09,2.0875061679248574e-09
2.2105159303009714e-07,7.713878147352915e-11,1.19732533221395e-07,1.6451797701932946e-09
2.398229526079376e-07,1.0995473281871782e-10,4.101585560079002e-08,4.209835147150898e-09
1.7234856386494357e-07,1.583703446161877e-10,8.725354661009987e-09,4.346721649284291e-09
8.243017646236694e-08,1.8536219781317698e-10,3.9222181058562455e-09,6.359870963201786e-10
8.595096545604974e-08,4.4281932287670855e-11,8.198726142438773e-09,2.801427756438102e-09
1.259401898323631e-07,9.912101001097184e-11,3.603583209610406e-08,7.028439497069883e-10
1.095228299163864e-07,3.404062448586487e-11,3.042173801759418e-08,2.0495742880655143e-09
