total_loss,collocation_loss,interface_loss,bc_loss
0.418387770652771,0.0011531905038282275,0.36925846338272095,0.014492310583591461
1.922996943903854e-06,2.2432818103101937e-10,8.601336389801872e-07,2.2161447077451157e-07
2.476761267189431e-07,1.3174170088170456e-11,9.405614065371992e-08,2.250706998552232e-08
6.2545166201744e-07,5.6022938024757885e-12,2.384570052527124e-07,6.477625191791958e-08
4.51986750249489e-07,3.7157010107646826e-11,1.181224931201541e-07,2.7709450733937047e-08
4.93146274038736e-07,4.667313410755547e-12,1.4709225126807723e-07,5.875032016433579e-08
4.4264302800911537e-07,4.62970460579637e-12,1.5930581298562174e-07,4.487716154244481e-08
4.768948542732687e-07,1.6547132587751978e-12,1.5004968645371264e-07,5.989498674807692e-08
3.623715656431159e-07,1.811772520204924e-12,1.1122646981220896e-07,3.9603932577847445e-08
1.5371711015177425e-07,4.583536241525854e-12,1.8659882528027083e-09,9.37905220155244e-09
1.8631280340741796e-07,2.18629563238093e-12,4.869216851943747e-08,1.701791596531166e-08
1.689371345037216e-07,4.645727162341795e-13,5.4208960875712364e-08,2.1300708752391984e-08
7.916551680864359e-08,6.952086475942032e-13,2.6553069076840075e-08,6.561367005275542e-09
9.734109340797659e-08,1.2075308472320884e-13,3.470902143476451e-08,1.1535044031063535e-08
7.836101190150657e-08,2.403781600851529e-12,1.089527579267724e-08,2.959680944769616e-09
3.486417909925876e-08,1.0628887906535128e-13,1.091523760266e-08,4.00190725002858e-09
5.296811167454507e-08,1.5970883469884622e-13,1.814011696410489e-08,5.592281748789674e-09
3.919748792213795e-08,1.538969282956562e-13,1.3503910878398528e-08,3.7015770448789453e-09
1.903045010465121e-08,5.66573697680095e-13,3.7158915944246473e-09,8.766156689432592e-10
1.7692981302275257e-08,4.493114322441649e-13,1.5921219898018535e-10,5.593550067573005e-10
2.5567231887180242e-08,1.6977435082776715e-13,8.79329231651127e-09,2.088667905297825e-09
2.4781030560916406e-08,1.1022706727405185e-13,7.881119756802946e-09,2.6649822348900898e-09
3.362021328001674e-09,4.804334962629428e-14,7.3657790977677e-10,1.87216991909267e-10
6.57248167001967e-09,1.8941943011937384e-13,7.319660988436283e-10,2.075151578351253e-10
3.2463216559364128e-09,2.464257537447296e-14,1.0125091876034276e-09,3.05802438926861e-10
2.5494599764641634e-09,1.136609320659572e-13,2.1487034373990355e-11,1.0830605856604336e-10
5.912095701887665e-09,7.135322199628216e-14,1.7652181938387912e-09,4.441758905127102e-10
3.666308145966468e-09,6.554390412577896e-14,5.615211073894955e-10,2.820725319985229e-10
3.897702605115683e-09,7.447615115764583e-14,1.0365792668665108e-09,2.3879670463244906e-10
3.5187368574440825e-09,9.116404869500758e-14,6.593181556269201e-10,1.5978765532942418e-10
3.1362341612606315e-09,5.2833815610258544e-14,5.228271704460496e-10,1.963380846792262e-10
