total_loss,collocation_loss,interface_loss,bc_loss
35.3454475402832,0.0011603528400883079,34.32304382324219,0.014492310583591461
5.287300155032426e-05,1.6013755654853412e-08,3.0550390874850564e-06,2.791536530821759e-07
2.0782226783921942e-05,2.014312094900106e-08,4.403358161653159e-06,1.6651068790451973e-07
1.4349753655551467e-05,3.1589308946422534e-09,1.4796464711253066e-06,3.849334575534158e-07
5.969527137494879e-06,2.6027787924931545e-08,9.43681044418554e-08,2.806889121131917e-08
2.0166594367765356e-06,1.940263061328551e-09,6.065421302992036e-07,3.440960227862888e-08
2.3736076855129795e-06,3.69027808311273e-09,6.831883752056456e-07,3.3818583489164666e-08
2.6945322133542504e-06,5.97569493887562e-10,4.6476927195726603e-07,9.815642698640659e-08
2.8889739951409865e-06,1.867490384555026e-09,2.710069679778826e-07,6.77554865546881e-08
3.872663000947796e-06,8.947207419396364e-10,3.9687739672444877e-07,9.007103329849997e-08
3.73933380615199e-06,3.293380568258897e-10,6.00170380948839e-07,1.1736014471352973e-07
1.1018915984095656e-06,1.7755917847139813e-09,1.3013574573506048e-07,1.6999258889427438e-08
1.351382252323674e-06,1.6936971825032288e-09,1.9723565003459953e-07,2.74614500028747e-08
8.606758115092816e-07,9.23699006172285e-10,1.9426414610279608e-07,1.379262570821993e-08
1.8614201735545066e-07,7.300657300923774e-11,3.8330316698420575e-08,2.5570001671582077e-09
5.380954917200143e-07,3.0956837093754075e-10,1.0841123554428123e-08,1.451386033579638e-08
2.957777098799852e-07,3.378029522771442e-10,2.8529800744081513e-08,2.7811131175781156e-09
5.16394607075199e-07,1.5799334063260062e-10,5.6174286555688013e-08,1.2642002999996294e-08
2.280975195390056e-07,6.833747456802541e-11,3.022646311023891e-08,9.365526132398827e-09
1.8719664751642995e-07,1.2240869429192003e-10,1.1221263918059776e-07,9.319263138962697e-10
1.5496519267799158e-07,2.351156491720019e-10,4.444467016639919e-09,9.905118947273195e-10
1.1943488686938508e-07,1.5402527864250004e-10,2.513196761810832e-08,3.979886142868594e-10
1.1529408538990538e-07,9.950101159672542e-11,1.051704945354004e-08,2.5185973306918186e-09
8.834980746996735e-08,1.0185242926841198e-10,9.198473094329529e-09,1.4871465170429587e-09
5.8777612110816335e-08,1.2305788332778178e-10,8.209077861920377e-10,4.675740350457147e-11
1.1054000026433641e-07,1.1978286418301565e-10,1.2439054231094815e-09,1.37768085828327e-09
4.785353979741558e-08,4.4437360041671425e-11,3.432448103524166e-09,9.222013708232168e-10
2.8710795518804844e-08,3.2860103527099227e-12,1.3637563966995003e-08,6.312549372111675e-10
1.596044896245985e-08,1.1159154329754006e-11,2.352479100409255e-09,4.704459599658151e-10
2.620080508108913e-08,4.284664983922326e-11,1.021707163317842e-09,4.673002540478421e-10
1.6784998280172658e-08,8.27864079372409e-12,6.265509888692122e-09,4.4141490462834554e-10
9.699683722885766e-09,1.8229110929079972e-11,1.0417275930763026e-09,2.0214287188569102e-10
1.1966445612188181e-08,4.362472189045619e-12,1.1969740754125269e-09,3.262113912327891e-10
5.7518003693246555e-09,2.166714507464973e-12,1.738067467726978e-10,2.505535223740196e-10
4.820191801258034e-09,1.8196668130632254e-12,1.9322499156260164e-10,1.9330936851247316e-10
2.238777163654504e-09,1.6483873727796139e-12,7.299769677615586e-10,2.8462203080503734e-11
4.513736939770752e-09,6.618254555501579e-12,7.935776480394452e-10,3.539123161200308e-11
6.999020030207248e-09,9.567549877353976e-12,6.267875107823784e-10,1.2803132165561948e-10
3.5439211565346795e-09,4.365413846380006e-12,4.96331864496824e-10,1.0513904330489154e-10
7.997206452614591e-09,3.93627968761634e-12,9.873701856122352e-10,5.686461301834811e-10
3.494682321303344e-09,2.295198536436671e-12,1.0211715917307629e-09,9.419521412867837e-11
1.2521474967996937e-09,4.4260219946544443e-13,3.90920185111554e-10,4.3162008689368037e-11
8.509249416199793e-10,2.189011775663441e-12,1.1093082008528654e-10,6.488217081657144e-12
6.769539373507882e-10,5.880384612404199e-13,8.096012749092552e-11,2.399747935089014e-11
1.5760591720592743e-09,8.720000633025138e-13,1.625020118467546e-10,1.4785226862268352e-11
5.882089815223424e-10,4.564708528699557e-13,1.6125145663181684e-10,5.731422281218812e-12
5.993047169638999e-10,4.2965181109091977e-13,1.3060663661690342e-11,2.1415126616464164e-11
1.4159518002543336e-09,7.225954860509698e-13,7.413891722762855e-11,4.892226901365149e-11
2.808991927949478e-10,5.220052363454075e-13,6.054712287095754e-12,6.404030951367989e-12
3.7110797768136194e-10,4.685562918563257e-13,7.177369809596712e-12,1.4485456237278704e-11
2.8079899516697537e-10,4.691073918206001e-13,6.230038707144558e-11,3.31007140100259e-12
1.450417563830797e-10,2.2126056412399842e-13,2.8877344959710172e-11,2.661003362103287e-12
1.9257248573545382e-10,5.385958606191066e-13,2.007993771258043e-11,3.553845152187707e-12
2.1802008809412854e-10,3.1477587463663026e-13,3.5428548983418295e-11,3.1170760417253973e-12
2.8400812257523e-10,2.5557960153625714e-13,1.1293455060013002e-10,7.886369508824931e-13
5.209188636001727e-10,2.626780628948999e-13,6.680611619458432e-11,1.1999299123766072e-11
1.6646667377884228e-10,2.4927255355342015e-13,1.7124079931818414e-11,1.8165400824179945e-12
1.278035177687542e-10,2.6152140891223807e-13,1.4352963262354024e-12,9.583171929616885e-13
1.368192920070399e-10,1.7986094113641576e-13,1.0292211527485051e-11,9.73862592131003e-13
1.5008336240462938e-10,1.8352992194568818e-13,1.864464138634503e-11,2.438552831884877e-13
1.8323742523307374e-10,1.7042313740778248e-13,1.1141310096718371e-11,2.850464655979046e-12
9.416427360076085e-11,1.7222512207603485e-13,2.993161274389422e-13,9.177494918535811e-13
9.77996433837447e-11,2.5105731295965716e-13,5.684341886080802e-14,1.3587221625588342e-13
8.226513220632725e-11,1.8029517765902336e-13,9.620748642191757e-12,1.909757074702867e-14
7.956021952360004e-11,2.0923106996972862e-13,2.7853275241795927e-12,2.322726429596078e-13
9.375646786713432e-11,1.777917955003358e-13,6.076028569168557e-12,9.382522970363683e-14
8.416733282556876e-11,1.7353428264678394e-13,1.1661782650662644e-12,4.692583127630101e-13
6.942385555319674e-11,1.7998237177973414e-13,3.197442310920451e-14,8.849355710022211e-14
8.68944777243641e-11,1.8497871420372625e-13,5.88418203051333e-12,5.521321247425881e-14
6.76686345846278e-11,1.9446694688590727e-13,1.3011813848606835e-12,1.857997262988409e-13
1.1938068589234518e-10,1.8147339371239052e-13,3.8120617773529375e-12,3.3060457583361513e-13
1.0142860162876133e-10,1.8179399229479448e-13,6.616929226765933e-13,1.2427483087745772e-13
6.670754226778541e-11,1.789253288716694e-13,2.8421709430404007e-13,1.5846395376439837e-13
0.992875874042511,4.780254751063362e-12,6.331823954042193e-12,2.981452975128751e-13
0.07541590929031372,3.5469746584304573e-10,1.3793410857942945e-12,8.736945628778914e-14
0.01180186029523611,1.1280647527200927e-09,6.190603585309873e-13,7.519332378969068e-13
0.023143436759710312,2.269491705675364e-09,3.481659405224491e-12,3.3976805743907157e-12
0.002274741418659687,3.456883224117746e-09,9.814371537686384e-13,3.0256569819031576e-12
0.0005972052458673716,4.519055352147916e-09,7.389644451905042e-13,4.647095642323906e-12
0.0007911266875453293,5.302586814082133e-09,2.807531984672096e-12,3.8368162813551265e-12
0.0002395499323029071,4.6196881875459894e-09,2.4380497620768438e-12,3.4398725187734236e-12
1.2570120588861755e-07,2.8575135591069056e-09,3.552713678800501e-15,1.2008176571154383e-12
8.495433689859055e-07,5.044014650401607e-10,7.105427357601002e-14,5.341668947445033e-13
1.3947449133411283e-06,2.6210356801614765e-11,3.348432642269472e-13,4.594520293735305e-13
3.3540547406119003e-07,3.606872287821583e-13,2.3092638912203256e-13,6.607856622986574e-13
5.085506060709122e-08,2.3135825395238785e-13,1.0036416142611415e-13,5.206013571623647e-13
3.264834802507721e-08,1.8962167448212386e-13,1.8474111129762605e-13,6.233989019444053e-13
9.194722849770187e-08,1.6424825366977147e-13,1.4930279235159105e-12,2.4086743884155215e-14
1.2230265689083808e-08,2.2691794461255493e-13,5.684341886080801e-13,5.4491133827383464e-14
2.1132706251592026e-08,2.609368071008339e-13,2.8173019472887972e-12,1.7800387899780112e-13
1.2215910949464615e-08,3.7765987169133264e-13,4.661160346586257e-12,2.6922908347160046e-14
0.005348642356693745,4.825936200138214e-13,6.039613253960852e-14,1.095378128479485e-13
0.00274258223362267,7.874504867610987e-12,8.881784197001252e-14,1.422990631577692e-12
0.0013770420337095857,2.287023348479522e-11,1.2789769243681803e-13,2.0059665734040166e-12
3.5069774861895553e-10,4.090762104058676e-11,0.0,2.0338739373237935e-12
0.022642767056822777,5.664674285199567e-11,4.3520742565306136e-14,4.5427359790517485e-12
0.016112331300973892,8.483383440172076e-11,8.881784197001252e-14,9.007606292799064e-12
0.27671828866004944,1.1776703223720375e-10,2.282618538629322e-13,1.1530399031400851e-11
0.0964856669306755,1.351893597067999e-10,2.282618538629322e-13,1.2537065136042358e-11
0.0020944729913026094,1.5309042922240224e-10,1.4210854715202004e-14,1.142708844215079e-11
