total_loss,collocation_loss,interface_loss,bc_loss
7.548242092132568,0.1330392062664032,6.546972274780273,0.036644723266363144
4.166156031715218e-06,5.446959150390285e-08,6.395986815732613e-07,1.148742825307636e-07
8.74976012710249e-06,1.4200418618770527e-08,1.966294348676456e-06,3.63779832923683e-07
1.469387370889308e-06,2.4990822744541674e-09,7.668404577998444e-08,9.221398045156093e-08
2.687956566660432e-06,1.5408294640195663e-09,7.227972105283698e-07,1.8155259340346674e-07
1.418595275026746e-06,8.43967828956238e-09,1.4495745404019544e-07,2.3610864374745688e-08
4.436907147464808e-06,6.011909636782775e-09,1.1200377230125014e-06,1.5042250822716596e-07
2.00887711798714e-06,6.945281239012502e-09,3.2653198900334246e-07,8.553637087516108e-08
2.3745499220240163e-06,2.2980830571839306e-09,7.223469822292827e-08,9.044420323789382e-08
1.355944277747767e-06,1.1097027741158172e-09,2.1002648509238497e-07,6.780494743452437e-08
5.550726314140775e-07,9.369774400802555e-11,3.601362408289788e-08,4.92496177173507e-08
1.3843645092492807e-06,3.266630299592066e-10,5.79760694563447e-07,4.008494514096128e-08
7.41629605727212e-07,4.89976337281206e-10,1.0010133166815649e-07,3.4759949585350114e-08
5.026767553317768e-07,9.203631190501937e-10,1.0194625588155759e-07,6.301078769865853e-09
4.348931099684705e-07,1.2535696092275117e-10,1.9332718181885866e-07,8.85927953220289e-09
3.6747741205545026e-07,6.519177975228274e-10,6.183125833558734e-08,1.1461599669360112e-08
2.5016095150931505e-07,1.1221676365913424e-10,1.0331741862046329e-07,7.669766155515845e-09
1.2667543103361822e-07,4.3720478626330106e-11,3.7317580137141704e-08,6.6537402254596145e-09
6.57082708244161e-08,1.1488737738929444e-10,9.274177870111089e-09,1.71975766960486e-09
9.762776898014636e-08,1.0175341125240323e-10,3.2610664391086175e-08,1.600828358760964e-09
7.581621730423649e-08,8.332271678179737e-11,1.1332127236585166e-08,2.756179728891084e-09
7.464993245775986e-08,8.956124730730153e-11,1.5494098448698423e-08,1.9661383632296747e-09
4.105909212626102e-08,6.314349043634593e-11,8.910152615726474e-09,1.5519310281320031e-09
4.32829629914977e-08,5.3504242703006355e-11,1.0761383784085865e-08,1.0903647984505938e-09
2.044738423023773e-08,7.323824186000749e-11,9.950795742952323e-11,2.1128979121876057e-10
7.01348739085006e-08,2.8094193638139586e-11,1.1153364454230541e-08,1.975449803737206e-09
1.688045259129467e-08,7.31249436003445e-12,1.5700152289355174e-10,8.839490250878157e-10
3.415464533418344e-08,3.8444792488379065e-11,2.988944203252686e-09,7.963113501929797e-10
1.0959835705648402e-08,3.090729755461652e-11,4.5921755287281485e-10,1.165572083294819e-10
1.5732791069922314e-08,1.499887367084618e-11,2.4445308000053956e-09,6.665309415510023e-10
9.660077182616078e-09,4.180302978773476e-11,3.20742543635788e-10,8.935742770721511e-12
3.9256924821984285e-08,8.69585133067563e-12,2.8104896188096973e-10,2.0849744153395022e-09
8.177692301103434e-09,2.0849308390857857e-11,1.0909673164860578e-10,2.348244688976653e-11
8.984276433920968e-09,8.946825919009527e-12,4.41232828052307e-10,3.3598948623314584e-10
4.710808187979865e-09,6.453794963723336e-12,1.3180034841298038e-09,4.5411195637168333e-11
4.4982852998032286e-09,7.453202985341356e-12,5.046567608246733e-10,1.7886458980598263e-10
3.5701090972395377e-09,4.6088610358707705e-12,3.013589378042525e-10,1.556570844440941e-10
2.851357816524569e-09,5.3930926564860204e-12,5.943583403222874e-10,5.428774790816604e-11
3.5094773753741038e-09,3.1206775445019597e-12,2.2800250576437975e-10,1.4272003023840796e-10
3.115826041621972e-09,4.820968711044538e-12,2.9976732207614987e-10,3.0243876847357853e-11
2.564992662712484e-09,2.649152381836717e-12,3.0807800754928394e-10,9.229630948404122e-11
1.2826915085639712e-09,4.631045113362431e-12,7.763745202282735e-11,9.58873605516608e-12
1.309517605463384e-09,3.601823049884101e-12,2.6577229306212757e-10,8.385975941438417e-12
